年度, 電燈售電量(度) , 電力售電量(度) , 售電量合計(度) , 電燈用戶數(戶) , 電力用戶數(戶) , 用戶數合計(戶) , 電燈(非營業用)用戶數(戶) , 電燈(營業用)用戶數(戶) ,電燈平均電價(元),電力平均電價(元),"平均電價合計(元)											"
1951,"250,405,594","704,910,723","955,316,317","485,410","15,051","500,461","415,542","69,868",0.3594,0.0871,0.1584
1952,"259,468,670","816,554,150","1,076,022,820","512,442","16,304","528,746","433,132","79,310",0.3687,0.0873,0.1551
1953,"300,848,597","923,978,277","1,224,826,874","530,157","17,649","547,806","446,729","83,428",0.4304,0.1128,0.1908
1954,"324,241,555","1,078,306,769","1,402,548,324","580,170","21,644","601,814","488,579","91,591",0.4382,0.1156,0.1902
1955,"340,488,568","1,156,177,647","1,496,666,215","625,839","24,722","650,561","528,011","97,828",0.5853,0.1556,0.2533
1956,"381,149,887","1,388,758,341","1,769,908,228","693,371","26,623","719,994","587,949","105,422",0.6097,0.188,0.2788
1957,"434,160,703","1,650,263,963","2,084,424,666","766,597","28,364","794,961","652,444","114,153",0.6088,0.2188,0.3
1958,"479,177,296","1,937,192,431","2,416,369,727","864,067","30,146","894,213","741,711","122,356",0.6621,0.2397,0.3234
1959,"532,926,106","2,236,918,065","2,769,844,171","958,431","32,487","990,918","830,394","128,037",0.6707,0.2313,0.3158
1960,"590,413,488","2,545,313,773","3,135,727,261","1,067,233","34,764","1,101,997","932,532","134,701",0.7638,0.3285,0.4104
1961,"661,883,726","2,866,245,693","3,528,129,419","1,180,902","37,101","1,218,003","1,035,447","145,455",0.8067,0.3456,0.4321
1962,"737,262,597","3,328,222,586","4,065,485,183","1,289,292","41,387","1,330,679","1,133,177","156,115",0.8568,0.3661,0.4551
1963,"804,529,768","3,562,148,967","4,366,678,735","1,368,713","45,945","1,414,658","1,201,991","166,722",0.8856,0.3892,0.4807
1964,"949,493,172","4,235,834,024","5,185,327,196","1,467,047","51,675","1,518,722","1,289,677","177,370",0.931,0.3973,0.495
1965,"1,115,478,735","4,556,733,639","5,672,212,374","1,579,994","59,047","1,639,041","1,387,447","192,547",0.9108,0.4052,0.5046
1966,"1,291,246,693","5,189,533,659","6,480,780,352","1,677,530","66,410","1,743,940","1,471,920","205,610",0.8838,0.3991,0.4957
1967,"1,562,533,393","5,907,220,575","7,469,753,968","1,786,027","72,522","1,858,549","1,569,109","216,918",0.8629,0.3972,0.4946
1968,"1,881,339,727","6,880,814,472","8,762,154,199","1,908,178","79,233","1,987,411","1,675,550","232,628",0.8636,0.4006,0.5
1969,"2,266,931,086","7,783,822,580","10,050,753,666","2,048,994","86,443","2,135,437","1,804,647","244,347",0.9171,0.426,0.5368
1970,"2,721,757,491","9,241,890,066","11,963,647,557","2,174,439","90,983","2,265,422","1,916,035","258,404",0.9841,0.4412,0.5647
1971,"3,148,102,120","10,687,900,138","13,836,002,258","2,314,103","95,830","2,409,933","2,039,867","274,236",0.9945,0.4415,0.5673
1972,"3,565,670,725","12,515,138,166","16,080,808,891","2,457,102","103,300","2,560,402","2,163,641","293,461",0.9999,0.4394,0.5637
1973,"4,084,310,099","13,854,164,084","17,938,474,183","2,614,139","114,988","2,729,127","2,295,874","318,265",1.0147,0.4464,0.5758
