日期(年度),單位,抽蓄水力,抽蓄水力_台電,抽蓄水力_台電_淨發電量,抽蓄水力_台電_廠用電,火力,火力_台電,火力_台電_淨發電量,火力_台電_廠用電,火力_民營電廠,火力_自用發電設備,核能,核能_台電,核能_台電_淨發電量,核能_台電_廠用電,再生能源,再生能源_台電,再生能源_台電_慣常水力,再生能源_台電_慣常水力_淨發電量,再生能源_台電_慣常水力_廠用電,再生能源_台電_地熱,再生能源_台電_太陽光電,再生能源_台電_風力,再生能源_民營電廠,再生能源_民營電廠_慣常水力,再生能源_民營電廠_太陽光電,再生能源_民營電廠_風力,再生能源_自用發電設備,再生能源_自用發電設備_慣常水力,再生能源_自用發電設備_地熱,再生能源_自用發電設備_太陽光電,再生能源_自用發電設備_風力,再生能源_自用發電設備_生質能,再生能源_自用發電設備_廢棄物,總發電量,總發電量_台電,總發電量_台電_淨發電量,總發電量_台電_廠用電,總發電量_民營電廠,總發電量_自用發電設備
94,百萬度,3838.51825,3838.51825,3830.254,8.26425,176160.7872,99551.53094,94828.53629,4722.994654,37520.59588,39088.66034,39972.008,39972.008,38403.8878,1568.1202,7540.953655,4104.537834,4027.543073,4010.86606,16.677013,0,0,76.994761,43.830523,43.830523,0,0,3392.585298,0,0,0.96,14.305665,323.479207,3053.840426,227512.2671,147466.595,141150.4771,6316.117928,37564.4264,42481.24563
95,百萬度,3910.666721,3910.666721,3902.278001,8.38872,184005.1219,108189.1453,103094.7009,5094.444369,36875.63699,38940.33964,39870.4978,39870.4978,38316.60622,1553.89158,7743.855829,4202.339778,4028.148429,4007.618177,20.530252,0,0,174.191349,150.354085,60.202338,0,90.151747,3391.161966,0,0,1.457,11.731636,321.295341,3056.677989,235530.1423,156172.6496,149495.2453,6677.404275,37025.99107,42331.5016
96,百萬度,3932.70126,3932.70126,3924.461,8.24026,190319.926,112082.2893,106912.0194,5170.269862,37395.02604,40842.6107,40539.16,40539.16,38960.77298,1578.38702,8324.820677,4598.49837,4322.035413,4302.961153,19.07426,0,0,276.462957,248.416463,95.514492,0,152.901971,3477.905844,0,0,2.18,10.169579,302.267532,3163.288733,243116.6079,161152.6489,154376.6775,6775.971402,37643.4425,44320.51655
97,百萬度,3467.1645,3467.1645,3458.878,8.2865,185752.2928,113317.124,108140.7845,5176.339498,36480.25678,35954.91204,40826.8596,40826.8596,39260.45902,1566.40058,8259.072411,4433.556408,4160.770365,4139.079649,21.690716,0,0.096286,272.689757,450.730713,144.33481,0,306.395903,3374.78529,0,0,4.376857,9.179507,272.488782,3088.740144,238305.3893,162044.7045,155271.9872,6772.717294,36930.9875,39329.69733
98,百萬度,3305.104383,3305.104383,3289.716523,15.38786,177351.4135,101280.1047,96761.75147,4518.353189,39618.93004,36452.37884,41571.1288,41571.1288,39981.0339,1590.0949,7809.531307,3973.246853,3601.469201,3581.906588,19.562613,0,0.098128,371.679524,553.497892,146.818989,0,406.678903,3282.786562,0,0,9.014407,8.277022,229.350506,3036.144627,230037.178,150129.5847,143986.1861,6143.398562,40172.42793,39735.1654
99,百萬度,3060.998999,3060.998999,3047.150815,13.848184,193729.4243,115726.6246,110764.5254,4962.099246,40801.0752,37201.72446,41628.6891,41628.6891,40028.52128,1600.16782,8639.758617,4592.415205,4073.351615,4053.187229,20.164386,0,3.860211,515.203379,621.58678,120.749691,0,500.837089,3425.756632,0,0,17.866793,10.297327,270.040083,3127.552429,247058.871,165008.7279,158412.4483,6596.279636,41422.66198,40627.48109
100,百萬度,2902.108,2902.108,2888.972904,13.135096,198161.3637,120353.4812,115271.7427,5081.738535,41480.57386,36327.30865,42116.4908,42116.4908,40522.22895,1594.26185,8987.064028,4694.794786,3883.184434,3862.409555,20.774879,0,8.643787,802.966565,799.79652,116.542065,0,683.254455,3492.472722,0,0,52.97875,6.455651,236.087852,3196.950469,252167.0266,170066.8748,163356.9611,6709.91375,42280.37038,39819.78137
101,百萬度,2936.9005,2936.9005,2924.17408,12.72642,196352.6966,123128.8641,118074.7832,5054.080897,39233.98284,33989.84962,40421.7298,40421.7298,38887.28814,1534.44166,10662.09662,6262.078962,5512.326012,5490.899802,21.42621,0,13.207962,736.544988,825.565141,157.23195,0,668.333191,3574.45252,0,0,146.661869,8.590303,241.463221,3177.737127,250373.4235,172749.5734,166126.8965,6622.676843,40059.54798,37564.30214
102,百萬度,3187.087,3187.087,3174.130709,12.956291,196659.1461,120414.1437,115637.3404,4776.803254,39491.84219,36753.16022,41639.36,41639.36,40078.64248,1560.71752,10855.23132,6037.633572,5272.801374,5250.724871,22.076503,0,16.75795,748.074248,1039.699224,150.088347,5.815811,883.795066,3777.898525,0,0,298.522475,8.138297,225.564695,3245.673058,252340.8244,171278.2242,164905.3906,6372.833614,40531.54141,40531.05874
103,百萬度,3121.17,3121.17,3108.27987,12.89013,204531.4117,125672.1448,120818.3205,4853.824249,40684.86258,38174.40435,42388.975,42388.975,40801.05846,1587.91654,9922.376051,4912.577449,4183.094093,4160.204941,22.889152,0,22.947054,706.536302,941.544509,134.767825,19.851495,786.925189,4068.254093,0,0,485.96358,7.022892,249.78039,3325.487231,259963.9327,176094.8672,169617.3458,6477.52145,41626.40709,42242.65844
