year,pumped storage net power generation(TPC),pumped storage load auxiliaries(TPC),heat power net power generation(TPC),heat power load auxiliaries(TPC),heat power net power generation(IPP),heat power net power generation(self),nuclear power net power generation(TPC),nuclear power load auxiliaries(TPC),renewable energy,renewable energy hydroelectric power net power generation(TPC),renewable energy hydroelectric power load auxiliaries(TPC),renewable energy geothermal power(TPC),renewable energy solar power(TPC),renewable energy wind power(TPC),renewable energy hydroelectric power(IPP),renewable energy solar power(IPP),renewable energy wind power(IPP),renewable energy hydroelectric power(self),renewable energy geothermal power(self),renewable energy solar power(self),renewable energy wind power(self),renewable energy biomass(self),renewable energy Waste-to-energy(self),total power generation,total power generation(TPC),total net power generation(TPC),total load auxiliaries(TPC),total power generation(IPP),total power generation(self)
94,3830.254,8.26425,94828.53629,4722.994654,37520.59588,39088.66034,38403.8878,1568.1202,7540.953655,4010.86606,16.677013,0,0.0,76.994761,43.830523,0.0,0.0,0.0,0.0,0.96,14.305665,323.479207,3053.840426,227512.2671,147466.595,141150.4771,6316.117928,37564.4264,42481.24563
95,3902.278001,8.38872,103094.7009,5094.444369,36875.63699,38940.33964,38316.60622,1553.89158,7743.855829,4007.618177,20.530252,0,0.0,174.191349,60.202338,0.0,90.151747,0.0,0.0,1.457,11.731636,321.295341,3056.677989,235530.1423,156172.6496,149495.2453,6677.404275,37025.99107,42331.5016
96,3924.461,8.24026,106912.0194,5170.269862,37395.02604,40842.6107,38960.77298,1578.38702,8324.820677,4302.961153,19.07426,0,0.0,276.462957,95.514492,0.0,152.901971,0.0,0.0,2.18,10.169579,302.267532,3163.288733,243116.6079,161152.6489,154376.6775,6775.971402,37643.4425,44320.51655
97,3458.878,8.2865,108140.7845,5176.339498,36480.25678,35954.91204,39260.45902,1566.40058,8259.072411,4139.079649,21.690716,0,0.096286,272.689757,144.33481,0.0,306.395903,0.0,0.0,4.376857,9.179507,272.488782,3088.740144,238305.3893,162044.7045,155271.9872,6772.717294,36930.9875,39329.69733
98,3289.716523,15.38786,96761.75147,4518.353189,39618.93004,36452.37884,39981.0339,1590.0949,7809.531307,3581.906588,19.562613,0,0.098128,371.679524,146.818989,0.0,406.678903,0.0,0.0,9.014407,8.277022,229.350506,3036.144627,230037.178,150129.5847,143986.1861,6143.398562,40172.42793,39735.1654
99,3047.150815,13.848184,110764.5254,4962.099246,40801.0752,37201.72446,40028.52128,1600.16782,8639.758617,4053.187229,20.164386,0,3.860211,515.203379,120.749691,0.0,500.837089,0.0,0.0,17.866793,10.297327,270.040083,3127.552429,247058.871,165008.7279,158412.4483,6596.279636,41422.66198,40627.48109
100,2888.972904,13.135096,115271.7427,5081.738535,41480.57386,36327.30865,40522.22895,1594.26185,8987.064028,3862.409555,20.774879,0,8.643787,802.966565,116.542065,0.0,683.254455,0.0,0.0,52.97875,6.455651,236.087852,3196.950469,252167.0266,170066.8748,163356.9611,6709.91375,42280.37038,39819.78137
101,2924.17408,12.72642,118074.7832,5054.080897,39233.98284,33989.84962,38887.28814,1534.44166,10662.09662,5490.899802,21.42621,0,13.207962,736.544988,157.23195,0.0,668.333191,0.0,0.0,146.661869,8.590303,241.463221,3177.737127,250373.4235,172749.5734,166126.8965,6622.676843,40059.54798,37564.30214
102,3174.130709,12.956291,115637.3404,4776.803254,39491.84219,36753.16022,40078.64248,1560.71752,10855.23132,5250.724871,22.076503,0,16.75795,748.074248,150.088347,5.815811,883.795066,0.0,0.0,298.522475,8.138297,225.564695,3245.673058,252340.8244,171278.2242,164905.3906,6372.833614,40531.54141,40531.05874
103,3108.27987,12.89013,120818.3205,4853.824249,40684.86258,38174.40435,40801.05846,1587.91654,9922.376051,4160.204941,22.889152,0,22.947054,706.536302,134.767825,19.851495,786.925189,0.0,0.0,485.96358,7.022892,249.78039,3325.487231,259963.9327,176094.8672,169617.3458,6477.52145,41626.40709,42242.65844
