total power generation,power supply,hydroelectricity,thermal power,nuclear,Renewable energy,self use,total power requirement,year,month
13602.245,11770.284,293.392,7744.468,3558.91,173.514,1831.961,13602.241,2000,1
11997.789,10104.745,295.06,6356.051,3164.412,289.222,1893.044,11997.789,2000,2
14186.038,11817.609,311.387,7974.022,3125.995,406.206,2368.429,14186.035,2000,3
14167.784,11813.758,329.972,8500.499,2640.143,343.144,2354.026,14167.785,2000,4
15943.048,13407.175,345.18,9539.204,3092.071,430.72,2535.873,15943.047,2000,5
16924.07,14154.573,388.496,9687.205,3607.578,471.294,2769.497,16924.073,2000,6
18077.524,15140.618,410.57,10616.761,3637.515,475.771,2936.906,18077.524,2000,7
17553.876,14707.509,406.309,10325.043,3486.883,489.275,2846.367,17553.876,2000,8
16246.257,13442.536,408.898,9633.82,2920.725,479.093,2803.721,16246.254,2000,9
16680.969,13973.329,403.973,10209.251,3040.837,319.268,2707.64,16680.966,2000,10
14844.528,12309.268,388.091,8753.71,2768.453,399.015,2535.26,14844.524,2000,11
14616.673,11989.099,328.831,7917.543,3459.268,283.457,2627.574,14616.673,2000,12
13424.966,10887.55,299.714,6727.125,3547.547,313.165,2537.415,13424.959,2001,1
13264.207,10843.334,291.284,7302.204,2890.002,359.844,2420.873,13264.204,2001,2
15077.824,12283.699,361.124,8955.539,2636.372,330.664,2794.125,15077.82,2001,3
14966.491,12459.152,355.697,10068.078,1604.992,430.384,2507.339,14966.49,2001,4
16151.805,13733.806,368.469,10315.173,2517.029,533.135,2417.999,16151.802,2001,5
17005.64,14341.663,330.701,9875.196,3498.702,637.064,2663.977,17005.634,2001,6
18361.447,15381.026,354.172,11133.64,3272.826,620.388,2980.42,18361.444,2001,7
19023.285,16067.876,374.99,11640.527,3667.923,384.435,2955.409,19023.287,2001,8
16031.824,13118.93,329.463,9502.174,2825.499,461.794,2912.894,16031.824,2001,9
15858.928,13052.348,368.415,9163.031,3041.238,479.664,2806.58,15858.926,2001,10
14633.32,11954.77,329.238,8297.509,3019.897,308.126,2678.55,14633.314,2001,11
14730.74,11950.364,315.84,8434.029,2964.394,236.101,2780.375,14730.736,2001,12
14255.616,11456.5,311.289,7374.063,3609.253,161.896,2799.117,14255.617,2002,1
12382.364,10076.621,254.258,6358.279,3262.072,202.012,2305.743,12382.363,2002,2
15342.705,12411.568,306.549,8607.326,3262.313,235.381,2931.137,15342.705,2002,3
16169.426,13283.21,306.419,9850.308,2929.053,197.429,2886.217,16169.423,2002,4
17546.91,14568.525,297.314,11026.409,3060.446,184.355,2978.385,17546.91,2002,5
17907.17,14996.126,296.304,11029.588,3448.848,221.386,2911.044,17907.166,2002,6
19323.403,16244.811,312.684,11818.504,3714.28,399.344,3078.591,19323.402,2002,7
19578.594,16431.271,309.286,12067.995,3728.565,325.425,3147.323,19578.592,2002,8
17470.478,14474.646,240.498,10734.64,3217.2,282.308,2995.833,17470.479,2002,9
17205.71,14311.949,310.878,10439.596,3288.663,272.812,2893.762,17205.709,2002,10
15737.111,12948.008,316.583,9389.887,3082.387,159.151,2789.103,15737.104,2002,11
15909.417,12957.585,318.738,9543.734,2949.84,145.273,2951.832,15909.417,2002,12
15464.984,12390.143,320.609,8247.804,3670.773,150.957,3074.842,15464.981,2003,1
13838.03,11264.141,291.358,7513.575,3295.291,163.916,2573.89,13838.027,2003,2
16008.952,13050.974,328.307,9472.559,3071.289,178.819,2957.978,16008.948,2003,3
16511.636,13738.912,329.634,10416.49,2758.506,234.282,2772.723,16511.63,2003,4
17780.615,14736.194,343.986,11331.155,2811.37,249.684,3044.422,17780.61,2003,5
17859.74,14624.674,328.964,10563.785,3360.745,371.18,3235.067,17859.737,2003,6
21060.671,17374.272,355.915,13004.663,3659.678,354.016,3686.399,21060.669,2003,7
20560.902,16876.49,323.846,12570.241,3714.183,268.219,3684.413,20560.9,2003,8
19066.173,15478.149,308.288,11754.234,3047.954,367.673,3588.024,19066.173,2003,9
17763.331,14421.186,298.294,10547.783,3266.952,308.157,3342.144,17763.328,2003,10
16603.817,13716.165,306.75,10228.406,2959.283,221.727,2887.652,16603.811,2003,11
16553.571,13403.429,324.585,9627.598,3275.552,175.694,3150.142,16553.572,2003,12
15562.0,12441.371,286.884,8469.819,3508.02,176.649,3120.629,15561.994,2004,1
15323.033,12268.811,257.31,8614.691,3100.588,296.222,3054.222,15323.029,2004,2
17056.268,13668.395,259.644,9819.108,3270.143,319.499,3387.873,17056.264,2004,3
17123.72,13770.264,260.839,10281.961,2939.411,288.052,3353.456,17123.719,2004,4
19479.358,16089.578,293.046,11821.701,3648.161,326.671,3389.78,19479.357,2004,5
19642.07,16057.802,282.582,11856.094,3596.888,322.238,3584.269,19642.066,2004,6
20921.653,17206.787,271.385,12941.91,3690.646,302.846,3714.866,20921.647,2004,7
21055.961,17369.168,316.064,13183.374,3568.82,300.911,3686.793,21055.958,2004,8
19506.67,15760.807,293.171,12067.898,3113.239,286.499,3745.863,19506.664,2004,9
18086.878,14160.222,252.803,10727.777,2955.269,224.373,3926.656,18086.882,2004,10
17368.604,13635.614,273.713,10200.558,2976.193,185.149,3732.99,17368.601,2004,11
17270.455,13347.957,298.249,9733.431,3122.688,193.59,3922.499,17270.45,2004,12
17161.309,13407.466,302.931,9188.358,3726.271,189.906,3753.843,17161.306,2005,1
14772.414,11669.335,289.571,7949.228,3192.06,238.475,3103.079,14772.414,2005,2
17544.567,14248.826,332.451,10234.093,3222.649,459.633,3295.741,17544.565,2005,3
17832.057,14638.558,332.076,10773.482,3137.985,395.014,3193.499,17832.056,2005,4
19965.38,16466.883,341.93,12366.324,3389.704,368.925,3498.497,19965.377,2005,5
20012.32,16345.798,341.383,11914.652,3634.805,454.958,3666.522,20012.321,2005,6
21674.357,17808.232,343.098,13406.917,3612.742,445.475,3866.125,21674.357,2005,7
21655.217,17779.51,318.136,13344.798,3638.16,478.416,3875.708,21655.216,2005,8
20588.246,16843.688,321.308,13285.278,2847.924,389.178,3744.558,20588.246,2005,9
19702.995,16103.535,311.289,12286.192,3160.743,345.311,3599.46,19702.994,2005,10
18458.117,14904.764,293.971,11478.824,2916.862,215.106,3553.354,18458.111,2005,11
18145.288,14814.427,310.375,10843.979,3492.102,167.971,3330.861,18145.286,2005,12
17606.501,14293.172,317.056,10071.267,3663.362,241.488,3313.329,17606.499,2006,1
15925.045,13028.291,276.933,9548.03,2950.231,253.097,2896.753,15925.043,2006,2
18319.637,15174.155,310.92,11545.546,3012.591,305.099,3145.482,18319.634,2006,3
18777.769,15455.678,322.054,11778.402,2952.539,402.682,3322.091,18777.765,2006,4
20455.932,16658.07,346.158,12787.766,3050.911,473.234,3797.863,20455.934,2006,5
20848.74,16928.935,336.424,12795.414,3391.831,405.266,3919.805,20848.743,2006,6
22757.901,18619.513,356.923,14073.921,3693.477,495.192,4138.388,22757.9,2006,7
22801.1,18849.431,354.649,14305.425,3729.676,459.681,3951.67,22801.1,2006,8
20624.417,16674.13,322.59,12699.121,3231.741,420.677,3950.287,20624.409,2006,9
20117.995,16731.477,314.158,12849.057,3239.959,328.303,3386.518,20117.993,2006,10
18803.894,15638.972,314.475,11830.333,3190.022,304.143,3164.922,18803.89,2006,11
18491.211,15146.817,338.327,10780.499,3764.158,263.833,3344.394,18491.215,2006,12
18636.983,14859.991,328.191,10385.735,3823.337,322.728,3776.992,18636.981,2007,1
15853.814,12613.902,280.323,8904.929,3171.948,256.703,3239.912,15853.811,2007,2
19241.421,15433.863,316.28,11518.474,3254.931,344.178,3807.558,19241.423,2007,3
18762.242,15177.315,329.048,11347.477,3082.326,418.464,3584.927,18762.236,2007,4
21402.67,17592.027,365.782,13542.009,3275.744,408.492,3810.643,21402.67,2007,5
21630.901,17776.814,342.349,13337.266,3651.715,445.485,3854.087,21630.898,2007,6
24213.664,20259.618,341.34,15763.134,3729.192,425.952,3954.046,24213.664,2007,7
22784.423,18637.881,314.938,14138.407,3751.666,432.869,4146.543,22784.419,2007,8
21240.306,17385.112,339.79,13517.551,2991.594,536.176,3855.194,21240.307,2007,9
20856.346,17198.829,355.252,13284.598,3025.493,533.487,3657.516,20856.342,2007,10
19089.326,15793.864,301.693,12013.879,3056.115,422.177,3295.462,19089.324,2007,11
19404.512,16066.875,317.714,11723.857,3725.1,300.204,3337.637,19404.509,2007,12
19447.572,15950.9,316.289,11527.046,3823.08,284.484,3496.673,19447.571,2008,1
17269.803,14004.8,299.353,9708.94,3577.904,418.603,3265.004,17269.801,2008,2
19621.17,15952.113,303.892,12009.314,3267.019,371.888,3669.057,19621.169,2008,3
19560.572,16296.817,281.06,12649.345,3033.178,333.234,3263.755,19560.571,2008,4
21226.594,17725.794,286.958,13780.969,3325.113,332.754,3500.8,21226.589,2008,5
21432.489,17846.726,300.623,13583.256,3493.026,469.821,3585.764,21432.487,2008,6
22675.223,19008.936,292.805,14509.698,3772.635,433.798,3666.287,22675.217,2008,7
22795.612,19431.506,304.75,14775.058,3766.397,585.3,3364.106,22795.613,2008,8
20638.493,17450.728,268.636,13086.494,3602.97,492.629,3187.765,20638.492,2008,9
19976.829,16949.13,289.031,12762.607,3336.13,561.362,3027.699,19976.832,2008,10
17149.289,14525.527,263.125,11088.459,2819.789,354.154,2623.762,17149.284,2008,11
16511.744,13832.717,260.643,10316.194,3009.617,246.262,2679.027,16511.738,2008,12
15279.446,12689.353,277.308,8353.737,3743.945,314.363,2590.094,15279.445,2009,1
15397.981,12850.936,253.251,8848.19,3464.18,285.314,2547.045,15397.978,2009,2
17585.925,14768.232,277.622,10883.423,3274.375,332.812,2817.694,17585.924,2009,3
17737.093,14637.69,283.526,10717.432,3222.955,413.777,3099.403,17737.091,2009,4
19401.724,16229.991,304.612,12308.54,3229.114,387.725,3171.733,19401.723,2009,5
20611.61,16929.924,288.578,12577.353,3693.785,370.208,3681.686,20611.609,2009,6
22609.166,18751.982,299.046,14381.793,3731.685,339.457,3857.185,22609.16,2009,7
22280.976,18549.156,279.74,13953.996,3761.967,553.454,3731.819,22280.973,2009,8
21779.013,18236.772,254.585,13912.088,3693.186,376.912,3542.241,21779.01,2009,9
19976.17,16348.717,268.691,12138.942,3396.001,545.084,3627.453,19976.173,2009,10
18561.568,15103.57,258.48,11730.327,2772.712,342.051,3457.998,18561.567,2009,11
18816.504,15205.69,259.666,11093.213,3587.224,265.587,3610.814,18816.505,2009,12
18884.933,15402.529,258.356,11168.767,3674.349,301.057,3482.404,18884.931,2010,1
16496.692,13540.51,256.113,9398.208,3498.309,387.88,2956.182,16496.69,2010,2
19678.628,16415.901,272.015,12150.593,3609.623,383.67,3262.727,19678.632,2010,3
19228.064,16113.718,247.588,12455.546,3047.661,362.923,3114.346,19228.064,2010,4
21403.51,18031.545,272.249,14005.281,3380.536,373.48,3371.965,21403.509,2010,5
21304.384,17896.753,277.491,13692.871,3262.533,663.858,3407.631,21304.382,2010,6
23944.418,20435.823,269.312,15833.254,3816.476,516.781,3508.594,23944.419,2010,7
23885.683,20338.191,255.036,15868.26,3801.223,413.672,3547.492,23885.687,2010,8
21838.19,18258.481,239.815,13948.906,3663.446,406.315,3579.709,21838.188,2010,9
21231.426,17654.518,250.592,13651.892,3192.396,559.638,3576.908,21231.424,2010,10
19350.432,16018.705,229.543,12035.705,3248.21,505.248,3331.726,19350.431,2010,11
19812.512,16324.715,232.889,12318.418,3433.928,339.481,3487.797,19812.51,2010,12
19879.026,16351.309,235.548,11821.764,3817.006,476.99,3527.717,19879.026,2011,1
17156.919,13945.386,225.979,9845.244,3504.854,369.309,3211.533,17156.92,2011,2
20238.647,16817.413,244.703,12541.034,3596.481,435.195,3421.234,20238.646,2011,3
19656.37,16525.635,242.439,12723.946,3248.03,311.22,3130.735,19656.365,2011,4
21347.983,18292.307,256.938,14498.488,3167.649,369.232,3055.676,21347.98,2011,5
22765.711,19435.461,248.651,15067.568,3688.607,430.634,3330.251,22765.709,2011,6
23968.409,20470.849,253.595,15952.338,3818.868,446.048,3497.56,23968.408,2011,7
24289.37,20891.258,245.605,16669.197,3556.536,419.92,3398.113,24289.371,2011,8
21970.986,18483.185,236.104,14233.517,3599.056,414.508,3487.802,21970.987,2011,9
21243.181,17867.294,236.317,13704.557,3353.515,572.905,3375.886,21243.178,2011,10
19956.468,16796.067,232.876,12590.65,3345.7,626.841,3160.401,19956.467,2011,11
19693.955,16471.081,243.353,12185.752,3420.188,621.788,3222.874,19693.956,2011,12
18553.279,15695.466,264.345,10971.076,3824.674,635.371,2857.813,18553.282,2012,1
18585.468,15843.039,224.352,11432.582,3643.273,542.832,2742.429,18585.466,2012,2
20272.034,17313.565,241.426,12990.918,3493.343,587.878,2958.468,20272.036,2012,3
20326.091,17450.038,228.278,13928.479,2834.05,459.231,2876.053,20326.091,2012,4
21911.756,18950.389,239.197,15585.111,2413.049,713.033,2961.368,21911.758,2012,5
21737.198,18602.785,230.978,14570.488,3050.07,751.25,3134.412,21737.198,2012,6
24216.751,20522.997,257.042,15914.754,3744.278,606.923,3693.754,24216.755,2012,7
23062.136,19390.727,259.514,14624.997,3704.402,801.813,3671.409,23062.136,2012,8
21647.16,18118.468,240.573,13656.551,3736.349,484.995,3528.692,21647.155,2012,9
20909.546,17767.015,243.702,13483.847,3521.195,518.271,3142.531,20909.547,2012,10
19603.222,16650.807,252.556,12775.083,3252.144,371.023,2952.416,19603.22,2012,11
19548.782,16503.824,254.938,12428.959,3204.903,615.024,3044.958,19548.782,2012,12
19781.899,16525.46,258.247,11810.049,3924.261,532.903,3256.439,19781.899,2013,1
16859.264,13951.89,252.92,10094.416,3178.286,426.267,2907.374,16859.26,2013,2
20164.082,16809.481,251.716,12726.04,3436.338,395.388,3354.601,20164.083,2013,3
19660.89,16575.254,270.091,12414.084,3292.729,598.35,3085.636,19660.893,2013,4
21904.97,18375.547,291.745,13801.213,3427.085,855.504,3529.423,21904.967,2013,5
22807.288,19271.282,276.652,15240.612,3163.824,590.195,3536.006,22807.286,2013,6
24096.076,20318.746,273.538,15742.434,3713.134,589.641,3777.33,24096.073,2013,7
24104.705,20301.288,273.89,15593.695,3857.316,576.387,3803.417,24104.707,2013,8
21868.323,18422.969,274.876,13688.923,3673.486,785.683,3445.355,21868.323,2013,9
